mode,sigma_K,accuracy_mean,accuracy_std,f1_mean,f1_std,n_seeds,mean_Rel_Delta_T_surface,mean_Rel_Max_abs_dT_dx
10 s + 1 m averaging,0.002,0.8262499999999999,0.06707039212648157,0.8224475177600178,0.06857395823048253,40,10.945893367490285,3.973493418284675
10 s + 1 m averaging,0.003,0.7525000000000001,0.09010410645470049,0.7434067311365105,0.09854776559282122,40,10.944372892177268,3.9738748946924725
10 s + 1 m averaging,0.005,0.63625,0.12549277867670314,0.6152332185788069,0.1402437055827974,40,10.939850120962445,3.974204860196777
10 s + 1 m averaging,0.01,0.46624999999999994,0.09040706554246743,0.4207961310597727,0.11686191043355196,40,10.924547479245373,3.972752777775882
10 s + 1 m averaging,0.02,0.33625,0.0689089072616886,0.2515963594369167,0.08809662078728261,40,10.880153508372405,3.964640905261887
10 s + 1 m averaging,0.05,0.27,0.03316624790355399,0.14056118247694335,0.049924513472202385,40,10.724905314668788,3.9342868914039464
10 s + 1 m averaging,0.1,0.25625,0.031991209730174316,0.11673389563335217,0.04647577328174274,40,10.416107760107579,3.8669217679408234
10 s + 1 m averaging,0.2,0.25,0.015811388300841892,0.10375000000000001,0.01958333333333333,40,9.797668681586766,3.7127000257526945
10 s + 1 m averaging,0.5,0.25,0.0,0.1,0.0,40,8.11270503001038,3.288286849289026
10 s + 1 m averaging,1.0,0.25,0.0,0.1,0.0,40,6.088859830069438,2.7055493738207685
