run_id,source_file,severity,alpha_deg,degradation_type,ambient_temperature,irradiance,load,SNR_dB,Peak_T_DTS,Peak_T_time_s,baseline_T_DTS,Delta_T_DTS,AUC_DTS,AUC_positive_DTS,Max_abs_dT_dt_DTS,Steady_T_DTS,Rise_time_10_90_DTS,Hotspot_position_m,Hotspot_index,Peak_spatial_temperature,Max_abs_dT_dx,Mean_abs_dT_dx,Inverter_region_mean_T,Inverter_region_max_T,Background_mean_T,Peak_T_surface,Delta_T_surface,AUC_surface,Max_abs_dT_dt_surface,Steady_T_surface,Rel_Delta_T_surface,Rel_Max_abs_dT_dx,n_time_samples,n_dts_channels,n_inverter_channels,duration_s
11,run_011_Moderate_Ta15_Vdc600_P2000.csv,Moderate,1.5,thermal_path,15.0,,600.0,,297.504749610416,0.0,297.47354625160176,0.031203358814252624,-109.55514022987063,0.004529031026234668,0.1105150534082661,294.3969856123634,,6.0,12.0,294.34747233905,1.6876843876560201,0.16465213538107515,294.34747233905,294.34747233905,292.659787951394,292.019101672119,3.3425514145488364,171.11544550095073,4.046826657566271,292.01840007414546,0.825968517405937,0.4170389617505831,6002,41,5,60.0
12,run_012_Severe_Ta15_Vdc600_P2000.csv,Severe,2.0,thermal_path,15.0,,600.0,,297.504749610416,0.0,297.4735497096755,0.031199900740489284,-103.38523938623038,0.004528071220475331,0.1105150534082661,294.602572882343,,6.0,12.0,294.557603664274,1.8978157128959765,0.18515275247765625,294.557603664274,294.557603664274,292.65978795137795,292.501863491001,3.8227976803108845,196.15430031935887,4.046839933329466,292.5011737694844,0.9446377280273959,0.4689623864946352,6002,41,5,60.0
13,run_013_Healthy_Ta15_Vdc650_P2000.csv,Healthy,1.0,thermal_path,15.0,,650.0,,297.504749610416,0.0,297.4736645231239,0.031085087292126445,-111.91475637322401,0.004506091733175375,0.11050548271270418,294.32198889712555,,6.0,12.0,294.270965787609,1.6111778356020068,0.157188081522147,294.270965787609,294.270965787609,292.659787952007,291.851859531549,3.1316386037741495,159.21739691360642,4.411842906569291,291.8512567734481,0.7098255015179936,0.3651938361637814,6002,41,5,60.0
14,run_014_Mild_Ta15_Vdc650_P2000.csv,Mild,1.25,thermal_path,15.0,,650.0,,297.504749610416,0.0,297.4736687641349,0.03108084628109964,-108.3796046261568,0.00450491711516165,0.11050548271270418,294.43694721846765,,6.0,12.0,294.388368560936,1.7285806087039646,0.16864201060526485,294.388368560936,294.388368560936,292.6597879522321,292.116030633847,3.3927674561636536,173.1971376816453,4.41186016879692,292.11535830040697,0.7690106500108852,0.391803126701392,6002,41,5,60.0
15,run_015_Moderate_Ta15_Vdc650_P2000.csv,Moderate,1.5,thermal_path,15.0,,650.0,,297.504749610416,0.0,297.4736716914433,0.031077918972698626,-104.9103410420233,0.004504105423615235,0.11050548271270418,294.5508783576519,,6.0,12.0,294.504760171304,1.8449722194029619,0.17999728969784995,294.504760171304,294.504760171304,292.6597879519011,292.380109905124,3.65473128280496,187.07486160507779,4.411871702215649,292.3793974379016,0.8283856670105679,0.41818356106693083,6002,41,5,60.0
16,run_016_Severe_Ta15_Vdc650_P2000.csv,Severe,2.0,thermal_path,15.0,,650.0,,297.504749610416,0.0,297.4736754682633,0.0310741421527041,-98.1658064704177,0.004503057098726426,0.11050548261036897,294.77562428822097,,6.0,12.0,294.734474626322,2.074686674273039,0.20240845602663796,294.734474626322,294.734474626322,292.65978795204893,292.907919770401,4.1797932731039396,214.44702365436086,4.411886147423502,292.9072227691291,0.9473937299005093,0.47024936839873704,6002,41,5,60.0
17,run_017_Healthy_Ta15_Vdc700_P2000.csv,Healthy,1.0,thermal_path,15.0,,700.0,,297.504749610416,0.0,297.4737912699622,0.03095834045382162,-107.80118545445887,0.004480945737913314,0.110495843009101,294.4585561609077,,6.0,12.0,294.410558462068,1.7507705088560215,0.1708068789127826,294.410558462068,294.410558462068,292.6597879532121,292.172980668491,3.403612470669316,173.02481337196735,4.781167076143902,292.1723733962525,0.7118790070424377,0.3661805749461593,6002,41,5,60.0
18,run_018_Mild_Ta15_Vdc700_P2000.csv,Mild,1.25,thermal_path,15.0,,700.0,,297.504749610416,0.0,297.47379587421625,0.030953736199762716,-103.95995308046993,0.0044796704567845475,0.110495843009101,294.5834741747787,,6.0,12.0,294.538133264544,1.8783453113309747,0.18325320110546095,294.538133264544,294.538133264544,292.659787953213,292.460068104899,3.6873965404249134,188.21575320229636,4.781185747653581,292.459390015187,0.7712305555655401,0.39286181513713275,6002,41,5,60.0
19,run_019_Moderate_Ta15_Vdc700_P2000.csv,Moderate,1.5,thermal_path,15.0,,700.0,,297.504749610416,0.0,297.4737990521968,0.030950558219217328,-100.19031749432307,0.004478789212505394,0.110495843009101,294.70727580399324,,6.0,12.0,294.664609077992,2.0048211246669894,0.19559230484555995,294.664609077992,294.664609077992,292.65978795332506,292.747056244119,3.9720876805657213,203.29577546231508,4.781198222530293,292.7463379951086,0.8307724331210898,0.4193135342558551,6002,41,5,60.0
20,run_020_Severe_Ta15_Vdc700_P2000.csv,Severe,2.0,thermal_path,15.0,,700.0,,297.504749610416,0.0,297.4738031524505,0.030946457965512764,-92.86184577411055,0.004477651061725493,0.110495843009101,294.9514921231787,,6.0,12.0,294.914225435544,2.254437482324988,0.2199451202268281,294.914225435544,294.914225435544,292.65978795321894,293.320655675849,4.542703423008049,233.03920411907745,4.781213847183608,293.3199565770064,0.9501150896406665,0.47151990151057,6002,41,5,60.0
21,run_021_Healthy_Ta20_Vdc500_P2000.csv,Healthy,1.0,thermal_path,20.0,,500.0,,297.504749610416,0.0,297.4895751824776,0.015174427938404733,-44.149463597789705,0.0021803609617235737,0.055221710584130446,296.3049624935095,,6.0,12.0,296.288087909397,1.2057763459710031,0.11763671668009787,296.288087909397,296.288087909397,295.08231156342606,295.919672483295,2.342363218775347,119.13217491409492,3.329556180156942,295.91911084859294,0.7035061407688689,0.3621432649663739,6002,41,5,60.0
22,run_022_Mild_Ta20_Vdc500_P2000.csv,Mild,1.25,thermal_path,20.0,,500.0,,297.504749610416,0.0,297.48957836555854,0.015171244857469901,-41.50335474560108,0.0021794794902367945,0.055221710584130446,296.3909959269903,,6.0,12.0,296.375949495496,1.293637931975013,0.12620857872926958,296.375949495496,296.375949495496,295.082311563521,296.117319929319,2.537728531069149,129.5947477113246,3.3295692839437834,296.11669532151905,0.7621792233929067,0.3885301135535268,6002,41,5,60.0
23,run_023_Moderate_Ta20_Vdc500_P2000.csv,Moderate,1.5,thermal_path,20.0,,500.0,,297.504749610416,0.0,297.48958056267355,0.015169047742460862,-38.906556087159885,0.0021788703592031714,0.055221710584130446,296.4762610750114,,6.0,12.0,296.463054809351,1.3807432458799553,0.1347066581346298,296.463054809351,296.463054809351,295.08231156347097,296.314897592213,2.733719269015694,139.98110320290988,3.3295780388016283,296.31423490971076,0.8210407556627224,0.4146901588697733,6002,41,5,60.0
24,run_024_Severe_Ta20_Vdc500_P2000.csv,Severe,2.0,thermal_path,20.0,,500.0,,297.504749610416,0.0,297.4895833973973,0.015166213018687813,-33.85814309347292,0.0021780836413004745,0.055221710584130446,296.64446041110307,,6.0,12.0,296.634970161989,1.552658598473954,0.15147888765599551,296.634970161989,296.634970161989,295.0823115635151,296.70978763481,3.1265479246573022,160.46722178824143,3.3295890045756096,296.7091301804118,0.939019176349008,0.46632139772814285,6002,41,5,60.0
25,run_025_Healthy_Ta20_Vdc550_P2000.csv,Healthy,1.0,thermal_path,20.0,,550.0,,297.504749610416,0.0,297.48969619324555,0.01505341717046349,-40.23267565372183,0.002156379326757771,0.055212276813075445,296.4349639005889,,6.0,12.0,296.420966311554,1.338654750000046,0.13060046341463863,296.420966311554,296.420966311554,295.08231156155387,296.225205838856,2.6010143941085744,132.27107854796233,3.686037878123898,296.224625502815,0.7056396271848477,0.3631690162341436,6002,41,5,60.0
26,run_026_Mild_Ta20_Vdc550_P2000.csv,Mild,1.25,thermal_path,20.0,,550.0,,297.504749610416,0.0,297.4896997236932,0.015049886722806605,-37.29512735718903,0.0021554016106437755,0.055212276813075445,296.53047810939927,,6.0,12.0,296.518510582272,1.4361990206699602,0.14011697762633757,296.518510582272,296.518510582272,295.082311561602,296.444656979606,2.817933901463448,143.8866357847878,3.686052356086293,296.4440109572805,0.7644855876261673,0.38963066227167226,6002,41,5,60.0
27,run_027_Moderate_Ta20_Vdc550_P2000.csv,Moderate,1.5,thermal_path,20.0,,550.0,,297.504749610416,0.0,297.48970216053533,0.015047449880682962,-34.412323280427124,0.002154725980641803,0.055212276813075445,296.62513920202247,,6.0,12.0,296.615215064657,1.5329035029739657,0.14955156126575275,296.615215064657,296.615215064657,295.0823115616829,296.664031041052,3.035547555366634,155.4175263145246,3.686062029650202,296.66334589904164,0.8235204754963659,0.4158648147110629,6002,41,5,60.0
28,run_028_Severe_Ta20_Vdc550_P2000.csv,Severe,2.0,thermal_path,20.0,,550.0,,297.504749610416,0.0,297.4897053045883,0.015044305827700555,-28.807898324499796,0.002153853373846032,0.055212276813075445,296.81187307476773,,6.0,12.0,296.806075306279,1.723763744835992,0.16817207266692605,296.806075306279,296.806075306279,295.08231156144313,297.102486274374,3.471716064923669,178.16103331731878,3.686074145465682,297.1018095749541,0.9418465087562877,0.4676421788629592,6002,41,5,60.0
29,run_029_Healthy_Ta20_Vdc600_P2000.csv,Healthy,1.0,thermal_path,20.0,,600.0,,297.504749610416,0.0,297.48981911602795,0.014930494388067928,-36.250328586781755,0.002132009573566747,0.05520277443194946,296.56715236691514,,6.0,12.0,296.55608118187,1.473769619317011,0.14378240188458644,296.55608118187,296.55608118187,295.08231156255306,296.535934732894,2.864106061567611,145.6328189290415,4.046800193758827,296.5353408103351,0.7077458546099645,0.36418146405892005,6002,41,5,60.0
30,run_030_Mild_Ta20_Vdc600_P2000.csv,Mild,1.25,thermal_path,20.0,,600.0,,297.504749610416,0.0,297.4898229991133,0.014926611302712445,-33.01646310513252,0.002130934143145712,0.05520277443194946,296.6723068705829,,6.0,12.0,296.663471127252,1.581159565016037,0.15425946975766214,296.663471127252,296.663471127252,295.0823115622359,296.777560418051,3.1029467412653275,158.42076548898018,4.046816057851174,296.77689861598174,0.7667624860896115,0.39071693460058565,6002,41,5,60.0
31,run_031_Moderate_Ta20_Vdc600_P2000.csv,Moderate,1.5,thermal_path,20.0,,600.0,,297.504749610416,0.0,297.4898256793659,0.014923931050134343,-29.842867298525373,0.0021301909905533886,0.05520277443194946,296.7765219781153,,6.0,12.0,296.769936341207,1.6876247786120189,0.16464631986458722,296.769936341207,296.769936341207,295.08231156259507,297.019101672103,3.3425514145327497,171.1154454990679,4.046826657566271,297.01840007414006,0.8259685174019619,0.4170242319266877,6002,41,5,60.0
32,run_032_Severe_Ta20_Vdc600_P2000.csv,Severe,2.0,thermal_path,20.0,,600.0,,297.504749610416,0.0,297.4898291374446,0.014920472971425625,-23.673127053865635,0.0021292311821742905,0.05520277443194946,296.9821021135256,,6.0,12.0,296.980060242022,1.8977486796159724,0.18514621264546072,296.980060242022,296.980060242022,295.082311562406,297.50186349101,3.822797680320434,196.1543003209571,4.0468399333312846,297.50117376948396,0.9446377280293311,0.4689458221427059,6002,41,5,60.0
33,run_033_Healthy_Ta20_Vdc650_P2000.csv,Healthy,1.0,thermal_path,20.0,,650.0,,297.504749610416,0.0,297.4899439508583,0.014805659557737272,-32.20242287351802,0.0021072517018120543,0.0551932026334414,296.70152786611,,6.0,12.0,296.693432492867,1.6111209313069708,0.1571825298836069,296.693432492867,296.693432492867,295.08231156156006,296.851859531645,3.1316386038677138,159.2173969155025,4.41184290657111,296.8512567734279,0.7098255015389084,0.36518093808538077,6002,41,5,60.0
34,run_034_Mild_Ta20_Vdc650_P2000.csv,Mild,1.25,thermal_path,20.0,,650.0,,297.504749610416,0.0,297.48994819188573,0.014801418530282717,-28.667362269502163,0.002106077080263543,0.0551932026334414,296.8164822006732,,6.0,12.0,296.810831121888,1.728519560471966,0.16863605468019183,296.810831121888,296.810831121888,295.0823115614161,297.11603063397,3.392767456288766,173.19713768238887,4.411860168847852,297.11535830046984,0.7690106500303657,0.3917892893970312,6002,41,5,60.0
